condition,replication,topic,conflict_type,word_count,num_turns,negative_words,positive_words,conflict_phrases,resolution_phrases,negativity_pct,positivity_pct,sentiment_ratio,sarah_negativity,david_negativity
destructive_chronic_mixed,59,screen time limits,destructive,3136,32,49.0,38.0,11.0,3.0,1.4701470147014701,1.14011401140114,-0.12643678160919541,1.3142174432497014,1.62748643761302
destructive_chronic_mixed,59,family gatherings,destructive,4548,40,92.0,36.0,16.0,4.0,1.9095060190950603,0.7471980074719801,-0.4375,1.9836639439906651,1.8246550956831329
destructive_chronic_mixed,59,exercise,destructive,3222,30,64.0,31.0,13.0,2.0,1.8906942392909896,0.9158050221565732,-0.3473684210526316,1.8856065367693273,1.89520624303233
destructive_chronic_mixed,59,finances,destructive,4077,30,120.0,18.0,13.0,2.0,2.8089887640449436,0.42134831460674155,-0.7391304347826086,2.877106452938759,2.718868950516585
destructive_chronic_mixed,59,parenting decisions about Emma,destructive,8485,34,227.0,98.0,15.0,4.0,2.510506525105065,1.0838310108383102,-0.39692307692307693,2.389516957862282,2.6019417475728153
constructive,60,grocery shopping,constructive,4756,40,17.0,154.0,1.0,9.0,0.34503754820377514,3.125634260198904,0.8011695906432749,0.4656160458452722,0.18735362997658078
constructive,60,holidays,constructive,4336,40,27.0,127.0,1.0,10.0,0.587979094076655,2.7656794425087106,0.6493506493506493,0.6227758007117438,0.5546075085324232
constructive,60,family time,constructive,3259,32,32.0,96.0,0.0,6.0,0.9408997353719494,2.8226992061158485,0.5,1.1060834590246356,0.708215297450425
constructive,60,parenting,constructive,3793,32,15.0,97.0,1.0,9.0,0.3799392097264438,2.4569402228976696,0.7321428571428571,0.4786771105308964,0.24242424242424243
constructive,60,sleep schedules,constructive,2814,32,20.0,96.0,1.0,6.0,0.6872852233676976,3.2989690721649487,0.6551724137931034,1.1420413990007139,0.26507620941020543
constructive,60,child's behavior,constructive,4091,38,16.0,108.0,0.0,9.0,0.3744441844137608,2.5274982447928855,0.7419354838709677,0.43956043956043955,0.3003003003003003
constructive,60,meal planning,constructive,4952,39,25.0,147.0,1.0,11.0,0.4900999803960008,2.8817878847284844,0.7093023255813954,0.5374417771408098,0.4329004329004329
constructive,60,hobbies,constructive,3761,30,12.0,104.0,1.0,8.0,0.30856261249678585,2.674209308305477,0.7931034482758621,0.3211009174311927,0.29256875365710944
destructive_overheard,60,in-laws,destructive,4710,36,94.0,25.0,14.0,3.0,1.894779278371296,0.5039306591413021,-0.5798319327731093,1.7159199237368923,2.0258470136220748
destructive_overheard,60,grocery shopping,destructive,5873,38,135.0,37.0,18.0,2.0,2.2087696335078535,0.6053664921465969,-0.5697674418604651,2.1938926771420104,2.227090178897408
destructive_overheard,60,meal planning,destructive,5800,32,111.0,44.0,14.0,3.0,1.8319854761511802,0.7261924409968642,-0.432258064516129,2.031419284940412,1.520912547528517
destructive_overheard,60,social obligations,destructive,4020,36,81.0,26.0,15.0,3.0,1.9267364414843007,0.6184586108468125,-0.514018691588785,2.1555763823805063,1.6908212560386473
